	이름	대화문	버튼 유무	4	5	6	7	8	9	10
1	고양이	우와 드디어 부산에 도착했다냐앙~								
2	고양이	바다 냄새 너무 그리웠다냥!!!								
3	고양이	바람도 너무 상쾌하고								
4	고양이	파도 소리도 너무 아름답다냥								
5	고양이	모래사장에서 뛰어다니며 놀까냥~?								
6	고양이	아님 저 부둣가에서 낚시를 할까냥~?								
7	고양이	아님 물고기들을 보러 갈까냥?								
8	고양이	이것도 하고 싶고 저것도 하고싶다냥!!!								
9	고양이	그동안 받은 스트레스 여기서 다 풀고 갈 거다냥								
10	고양이	본격적으로 여행을 즐겨볼까 나냥!!!	1							
11	고양이	end								
12	고양이	부산의 바다에서 낚시라니! 신난다냥								
13	고양이	오늘은 큰 고기를 잡을 수 있을 것 같다냥								
14	고양이	큰 고기를 잡아서 배부르게 먹었야겠다냐냥								
15	고양이	으잇~챳냥!!! (낚시대를 던지면서)	1							
16	고양이	end								
17	고양이	흐아암~								
18	고양이	너무 여유롭다냥								
19	고양이	이게 바로 살아가는 이유다냐냥~								
20	고양이	너무 행복하다냥!!!	1							
21	고양이	end								
22	고양이	흥흥흥~								
23	고양이	언제 물고기가 잡힐까냥?								
24	고양이	물고기가 많이 잡히면 파티를 해야겠다냥~								
25	고양이	많이 많이 잡혀라 냐냥	1							
26	고양이	end								
27	고양이	너무 맛있었다냥!									
28	고양이	이제 힘내서 계속 돌아다니겠다냥!	1											
29	고양이	end									
30										
31										
32										
33										
