	이름	대화문	버튼 유무	4	5	6	7	8	9	10
1	고양이	우와 드디어 전주에 도착했다냐앙~								
2	고양이	다들 한복을 입고 다니는구냥								
3	고양이	저렇게 이쁜 한복. 나도 참을 수 없다냥								
4	고양이	나도 한복을 빌려야겠다냥!!!								
5	고양이	여행을 오기 위해 지금까지								
6	고양이	땀과 눈물을 흘리며								
7	고양이	눈물은 안 흘렸지만냥…								
8	고양이	어쨌든 노력해으니까냐앙~								
9	고양이	그동안 받은 스트레스 여기서 다 풀고 갈 거다냥								
10	고양이	본격적으로 여행을 즐겨볼까 나냥!!!	1							
11	고양이	end								
12	고양이	히힛 나도 한복으로 갈아입었다냥!!!								
13	고양이	오늘은 진짜 아무 고민 없이 놀기만 할 거 다냥								
14	고양이	기다려라 한옥마을								
15	고양이	내가 간다냥!!!	1							
16	고양이	end								
17	고양이	우와 한옥을 실제로 보는 건 처음이다냥								
18	고양이	진짜~ 멋있구나냥								
19	고양이	이런데서 살아보고 싶다냥								
20	고양이	나중에 꼭 돈 모아서 한옥에서 살아야겠다냥!!!	1							
21	고양이	end								
22	고양이	풍경이 너무 좋다냥								
23	고양이	(킁킁) 맛있는 냄새도 난다냥								
24	고양이	저 골목에는 뭐가 있을까냥?								
25	고양이	한 번 들어가 봐야겠다냥~!!!	1							
26	고양이	end								
27	고양이	너무 맛있었다냥!									
28	고양이	이제 힘내서 계속 돌아다니겠다냥!	1											
29	고양이	end									
30										
31										
32										
33										
